{ 2,0,0,2,0,0,2} in_90 test 20% win=100 
[data I : 55501 answer: 20.0,forecast :18.271149381340976 (rmse:1.73, mape: 0.1, smape: 0.11) ] 
[data I : 55502 answer: 12.0,forecast :13.696043314398908 (rmse:1.7, mape: 0.15, smape: 0.14) ] 
[data I : 55503 answer: 12.0,forecast :12.53186360340784 (rmse:0.53, mape: 0.06, smape: 0.06) ] 
[data I : 55504 answer: 12.0,forecast :12.106817101112949 (rmse:0.11, mape: 0.01, smape: 0.01) ] 
[data I : 55505 answer: 12.0,forecast :15.252323461691285 (rmse:3.25, mape: 0.27, smape: 0.24) ] 
[data I : 55506 answer: 12.0,forecast :15.201393392256902 (rmse:3.2, mape: 0.29, smape: 0.26) ] 
[data I : 55507 answer: 16.0,forecast :17.019012601783608 (rmse:1.02, mape: 0.08, smape: 0.08) ] 
[data I : 55508 answer: 12.0,forecast :13.466170651250174 (rmse:1.47, mape: 0.13, smape: 0.12) ] 
[data I : 55509 answer: 12.0,forecast :13.737380491036243 (rmse:1.74, mape: 0.16, smape: 0.15) ] 
[data I : 55510 answer: 12.0,forecast :13.049156408352157 (rmse:1.05, mape: 0.1, smape: 0.1) ] 
[data I : 55511 answer: 16.0,forecast :13.672605990422333 (rmse:2.33, mape: 0.15, smape: 0.16) ] 
[data I : 55512 answer: 12.0,forecast :13.141600813808049 (rmse:1.14, mape: 0.11, smape: 0.1) ] 
[data I : 55513 answer: 16.0,forecast :15.17332157440835 (rmse:0.83, mape: 0.06, smape: 0.06) ] 
[data I : 55514 answer: 12.0,forecast :12.614620870857982 (rmse:0.61, mape: 0.06, smape: 0.05) ] 
[data I : 55515 answer: 16.0,forecast :13.522642294450439 (rmse:2.48, mape: 0.16, smape: 0.17) ] 
[data I : 55516 answer: 12.0,forecast :12.41552813501512 (rmse:0.42, mape: 0.05, smape: 0.05) ] 
[data I : 55517 answer: 12.0,forecast :15.075845241932964 (rmse:3.08, mape: 0.26, smape: 0.23) ] 
[data I : 55518 answer: 12.0,forecast :12.76137136599608 (rmse:0.76, mape: 0.09, smape: 0.08) ] 
[data I : 55519 answer: 16.0,forecast :15.195951654508661 (rmse:0.8, mape: 0.06, smape: 0.06) ] 
